Base_Price,Season,Day_Type,Local_Event,Room_Type,Competitor_Demand,Optimal_Price
118.93,Autumn,Weekday,No,Standard,Medium,130.13
140.28,Summer,Weekend,No,Standard,Medium,189.34
92.19,Spring,Weekday,No,Standard,Medium,92.81
217.7,Winter,Weekend,No,Standard,Medium,300.3
101.36,Summer,Weekend,No,Suite,Low,158.78
89.55,Spring,Weekday,Yes,Standard,Low,107.19
100.53,Spring,Weekday,No,Suite,Medium,142.19
185.36,Autumn,Weekday,No,Standard,Low,175.73
133.83,Autumn,Weekday,No,Standard,Low,125.71
154.81,Spring,Weekend,Yes,Standard,High,244.65
73.15,Summer,Weekday,Yes,Standard,Medium,110.84
75.16,Spring,Weekday,No,Standard,Medium,84.89
136.87,Autumn,Weekday,No,Standard,High,171.84
192.5,Spring,Weekday,No,Standard,High,230.24
202.79,Autumn,Weekend,No,Standard,Medium,254.56
83.01,Summer,Weekday,No,Suite,High,139.48
150.75,Winter,Weekend,No,Suite,Medium,261.74
206.98,Spring,Weekday,No,Standard,Medium,228.84
128.2,Summer,Weekend,No,Standard,Medium,176.38
194.43,Spring,Weekday,No,Standard,Medium,210.62
90.05,Winter,Weekday,Yes,Standard,Medium,132.69
210.31,Winter,Weekend,No,Standard,Medium,295.28
182.71,Summer,Weekday,No,Standard,Low,199.75
211.2,Autumn,Weekend,No,Standard,Medium,262.5
171.49,Winter,Weekday,No,Standard,Low,197.47
124.51,Autumn,Weekday,No,Standard,Medium,145.87
210.73,Summer,Weekday,No,Suite,Medium,339.61
111.34,Spring,Weekend,No,Suite,Medium,173.8
119.83,Spring,Weekday,No,Standard,High,148.54
175.12,Winter,Weekday,No,Suite,High,315.62
184.8,Winter,Weekday,No,Suite,Medium,303.01
209.41,Autumn,Weekday,No,Standard,Medium,234.63
100.72,Summer,Weekday,Yes,Standard,Medium,147.27
189.7,Summer,Weekend,No,Standard,Low,226.7
180.78,Autumn,Weekend,No,Suite,Low,255.16
79.57,Winter,Weekend,No,Suite,Low,125.94
128.08,Winter,Weekend,No,Standard,Medium,183.7
112.41,Winter,Weekday,No,Standard,Medium,135.12
115.67,Autumn,Weekend,No,Standard,High,166.92
217.44,Spring,Weekday,Yes,Standard,Low,258.89
166.42,Spring,Weekday,No,Standard,Low,151.27
177.65,Winter,Weekday,Yes,Suite,High,361.03
216.49,Autumn,Weekday,No,Standard,Low,210.01
126.58,Spring,Weekend,No,Suite,Medium,201.12
190.28,Spring,Weekday,No,Suite,Medium,276.03
135.18,Autumn,Weekday,No,Standard,Medium,147.15
200.43,Spring,Weekday,No,Standard,Low,186.74
97.1,Spring,Weekend,No,Standard,Low,100.16
212.15,Summer,Weekday,No,Standard,Low,227.33
102.82,Autumn,Weekday,No,Standard,Medium,113.27
118.93,Autumn,Weekday,Yes,Standard,Medium,171.12
183.43,Spring,Weekend,No,Standard,Low,194.93
129.06,Autumn,Weekday,No,Standard,Medium,142.88
161.23,Spring,Weekday,No,Standard,High,191.36
136.69,Summer,Weekday,No,Standard,Low,144.72
181.36,Autumn,Weekday,No,Standard,Medium,206.67
104.25,Autumn,Weekday,No,Standard,Medium,118.76
78.77,Winter,Weekday,Yes,Standard,Low,112.93
114.99,Autumn,Weekend,No,Standard,Medium,146.9
141.15,Autumn,Weekday,No,Standard,Medium,163.38
95.2,Spring,Weekday,Yes,Standard,High,141.25
123.22,Summer,Weekend,No,Standard,High,178.04
130.0,Summer,Weekday,Yes,Standard,Medium,191.62
78.61,Spring,Weekday,No,Suite,Medium,116.65
157.5,Winter,Weekday,No,Standard,Medium,201.39
202.65,Summer,Weekday,No,Standard,Medium,251.27
92.76,Winter,Weekend,No,Standard,Medium,128.59
159.67,Autumn,Weekday,No,Standard,Low,150.76
169.71,Winter,Weekend,No,Standard,Medium,237.1
132.9,Summer,Weekday,Yes,Standard,Medium,197.93
175.16,Autumn,Weekday,No,Standard,Medium,195.31
131.61,Summer,Weekday,No,Standard,High,179.36
145.7,Spring,Weekday,No,Standard,Low,130.29
71.1,Autumn,Weekday,No,Standard,Medium,84.82
173.76,Summer,Weekend,No,Standard,Low,205.6
169.2,Spring,Weekday,Yes,Suite,High,313.76
75.76,Autumn,Weekend,Yes,Standard,Medium,119.75
125.24,Spring,Weekday,No,Standard,Medium,134.94
216.85,Winter,Weekend,No,Standard,Medium,299.56
133.11,Winter,Weekend,Yes,Standard,Medium,211.29
145.29,Winter,Weekend,No,Standard,High,217.86
206.49,Summer,Weekend,No,Standard,Medium,273.27
177.59,Spring,Weekend,No,Standard,Medium,218.62
157.31,Winter,Weekday,No,Standard,High,223.84
189.67,Summer,Weekday,Yes,Standard,Low,251.92
199.65,Winter,Weekday,No,Standard,Low,214.73
138.53,Winter,Weekend,No,Suite,Medium,237.64
141.27,Winter,Weekday,Yes,Standard,High,239.47
127.91,Summer,Weekend,Yes,Standard,Medium,205.8
215.01,Summer,Weekday,No,Standard,Low,229.47
174.57,Winter,Weekday,No,Standard,Medium,225.71
82.48,Summer,Weekday,No,Standard,Medium,107.99
199.44,Spring,Weekday,No,Standard,Low,182.6
142.08,Autumn,Weekday,No,Standard,Medium,160.83
80.31,Winter,Weekday,No,Standard,High,114.81
152.46,Autumn,Weekday,No,Standard,Medium,181.85
132.57,Autumn,Weekday,No,Standard,Medium,141.41
201.66,Spring,Weekday,No,Suite,Medium,291.11
100.6,Autumn,Weekday,No,Standard,Low,97.12
193.97,Winter,Weekend,No,Standard,High,300.98
153.65,Spring,Weekday,No,Standard,Medium,163.31
78.19,Summer,Weekday,No,Standard,Medium,95.98
215.78,Winter,Weekday,No,Suite,Medium,354.57
146.89,Autumn,Weekday,No,Standard,Medium,178.44
113.63,Autumn,Weekday,No,Standard,Medium,131.63
140.41,Autumn,Weekday,No,Standard,Low,132.81
198.68,Summer,Weekday,No,Standard,High,270.5
115.74,Summer,Weekday,No,Standard,High,156.75
98.9,Winter,Weekday,Yes,Standard,Medium,144.13
89.36,Winter,Weekend,No,Standard,High,136.29
114.68,Winter,Weekend,No,Standard,Low,145.13
187.01,Winter,Weekday,No,Standard,Medium,234.28
140.74,Summer,Weekday,No,Suite,Medium,226.56
104.12,Summer,Weekday,No,Suite,Medium,166.46
94.93,Winter,Weekday,No,Suite,Medium,151.8
119.91,Autumn,Weekend,No,Standard,Medium,149.32
210.99,Autumn,Weekday,No,Standard,Low,211.05
121.45,Winter,Weekday,Yes,Suite,Medium,231.26
218.22,Winter,Weekday,No,Standard,Low,244.44
142.78,Summer,Weekend,No,Standard,Medium,191.8
96.87,Summer,Weekday,No,Suite,Low,137.86
203.67,Spring,Weekday,Yes,Suite,Low,307.53
139.05,Autumn,Weekday,Yes,Standard,Medium,183.47
176.45,Spring,Weekday,No,Standard,Medium,198.73
217.56,Summer,Weekday,No,Standard,High,298.68
77.53,Summer,Weekday,No,Suite,Medium,124.09
84.5,Summer,Weekday,No,Suite,Medium,133.28
178.07,Autumn,Weekday,Yes,Standard,High,267.73
112.27,Spring,Weekday,No,Standard,Medium,120.51
97.65,Spring,Weekday,No,Suite,Low,117.62
75.9,Winter,Weekday,No,Standard,Medium,106.26
73.28,Summer,Weekday,No,Standard,High,95.46
186.17,Spring,Weekend,Yes,Suite,Medium,330.98
90.17,Summer,Weekday,Yes,Standard,Low,117.26
140.16,Winter,Weekday,No,Standard,Low,162.13
160.88,Spring,Weekday,Yes,Standard,Low,188.29
134.25,Autumn,Weekday,Yes,Standard,Medium,180.32
74.07,Spring,Weekend,No,Suite,Medium,119.83
187.53,Spring,Weekday,No,Standard,Low,175.45
71.58,Summer,Weekend,No,Suite,High,133.86
184.28,Summer,Weekday,No,Standard,High,255.33
204.0,Autumn,Weekday,No,Standard,Medium,240.1
134.93,Autumn,Weekend,No,Standard,High,196.29
150.33,Winter,Weekend,No,Standard,Low,183.66
141.55,Summer,Weekend,Yes,Standard,Medium,232.98
128.38,Summer,Weekend,No,Standard,Medium,174.85
203.11,Winter,Weekday,Yes,Standard,High,341.19
204.09,Summer,Weekend,No,Standard,High,297.33
120.37,Summer,Weekday,No,Standard,Low,128.11
162.26,Spring,Weekend,No,Standard,High,214.18
209.04,Spring,Weekday,No,Standard,Low,195.63
214.31,Winter,Weekend,No,Standard,High,334.32
146.34,Winter,Weekday,No,Standard,High,199.5
137.92,Autumn,Weekday,Yes,Standard,Low,168.17
111.8,Summer,Weekday,No,Standard,Medium,142.0
213.83,Spring,Weekend,No,Standard,Low,221.64
91.42,Spring,Weekday,No,Suite,Medium,133.65
156.97,Summer,Weekday,No,Suite,Medium,249.42
112.38,Summer,Weekday,No,Standard,Medium,139.59
111.85,Autumn,Weekday,No,Standard,High,140.96
130.75,Autumn,Weekend,No,Suite,Medium,204.33
219.82,Summer,Weekday,No,Standard,Medium,265.89
78.24,Winter,Weekend,No,Suite,High,150.71
156.78,Autumn,Weekday,No,Suite,High,254.06
82.39,Autumn,Weekday,No,Suite,Low,108.2
93.18,Autumn,Weekend,Yes,Standard,High,151.12
135.93,Summer,Weekday,No,Standard,Low,144.22
146.57,Spring,Weekday,Yes,Standard,High,219.65
108.82,Summer,Weekday,No,Standard,Low,115.1
117.47,Winter,Weekend,Yes,Standard,Low,169.67
83.05,Spring,Weekday,No,Standard,Medium,92.67
115.48,Spring,Weekend,No,Standard,Medium,137.76
214.98,Spring,Weekend,Yes,Suite,Medium,387.09
211.71,Spring,Weekday,No,Standard,Low,201.2
120.23,Winter,Weekday,No,Suite,Medium,195.89
155.63,Autumn,Weekday,No,Suite,High,253.28
206.44,Summer,Weekday,Yes,Standard,Medium,300.82
70.93,Spring,Weekday,No,Standard,Low,64.38
191.6,Summer,Weekday,No,Suite,Medium,305.17
212.26,Summer,Weekday,Yes,Standard,Low,273.96
83.7,Spring,Weekend,Yes,Standard,High,133.89
94.22,Summer,Weekend,No,Standard,High,140.79
214.11,Summer,Weekend,No,Standard,Medium,289.21
150.63,Autumn,Weekday,No,Standard,Medium,174.36
72.13,Autumn,Weekday,No,Standard,High,92.94
108.64,Spring,Weekday,No,Standard,Medium,123.24
137.49,Summer,Weekend,No,Standard,High,200.89
173.94,Autumn,Weekday,Yes,Standard,Medium,240.58
179.97,Summer,Weekend,No,Standard,High,268.49
219.31,Winter,Weekday,No,Standard,Medium,276.44
113.13,Autumn,Weekday,No,Suite,Medium,171.26
150.73,Spring,Weekend,No,Standard,High,211.28
150.0,Spring,Weekday,No,Standard,Medium,161.93
130.85,Autumn,Weekend,Yes,Standard,Medium,198.3
95.37,Spring,Weekend,No,Standard,Low,99.52
216.62,Autumn,Weekday,Yes,Standard,Medium,296.08
198.0,Winter,Weekday,No,Suite,Medium,315.46
144.75,Autumn,Weekday,Yes,Standard,Low,173.77
160.49,Summer,Weekend,Yes,Suite,Low,281.71
104.09,Autumn,Weekday,No,Standard,Medium,124.44
151.57,Summer,Weekday,No,Standard,High,207.19
174.25,Summer,Weekday,No,Standard,Medium,212.94
147.28,Winter,Weekend,No,Suite,Low,237.73
218.54,Summer,Weekday,Yes,Standard,Medium,318.95
161.7,Winter,Weekend,Yes,Standard,Low,237.87
125.65,Winter,Weekend,No,Standard,Medium,176.18
185.82,Spring,Weekday,No,Standard,Low,175.07
95.57,Spring,Weekday,No,Standard,Low,89.93
127.68,Spring,Weekend,No,Standard,Low,133.78
122.04,Spring,Weekday,No,Standard,Medium,132.12
134.77,Spring,Weekend,No,Standard,Low,141.76
187.27,Autumn,Weekday,No,Standard,Medium,212.42
142.63,Spring,Weekday,No,Suite,Medium,199.84
189.1,Summer,Weekend,No,Suite,Medium,321.65
156.47,Winter,Weekday,No,Suite,Medium,250.75
121.31,Spring,Weekday,No,Standard,High,148.32
191.5,Winter,Weekday,No,Standard,Low,212.56
105.74,Summer,Weekday,No,Standard,Medium,140.22
103.66,Spring,Weekday,No,Standard,Low,95.21
145.68,Autumn,Weekday,No,Standard,Low,135.69
109.13,Autumn,Weekend,No,Standard,Medium,135.88
71.36,Winter,Weekday,No,Standard,Medium,93.42
167.24,Autumn,Weekday,No,Standard,High,219.09
146.66,Winter,Weekday,No,Suite,Medium,236.7
136.83,Summer,Weekend,No,Standard,High,197.55
215.05,Spring,Weekday,No,Standard,Low,201.11
155.68,Winter,Weekend,No,Standard,Low,187.52
199.51,Winter,Weekday,No,Standard,Low,221.71
90.92,Winter,Weekday,No,Standard,Low,100.8
155.38,Summer,Weekday,Yes,Suite,Medium,284.07
200.2,Summer,Weekday,No,Suite,Medium,319.07
157.47,Winter,Weekday,Yes,Standard,Low,213.0
177.7,Summer,Weekday,No,Suite,High,304.55
125.81,Winter,Weekend,No,Suite,High,237.72
83.87,Winter,Weekday,Yes,Suite,Low,144.85
138.69,Summer,Weekday,Yes,Suite,Low,232.0
129.17,Winter,Weekday,No,Standard,Low,146.41
200.06,Winter,Weekend,No,Standard,Low,251.45
106.6,Spring,Weekday,No,Standard,Low,99.64
215.01,Winter,Weekday,Yes,Standard,Medium,330.78
213.72,Summer,Weekday,No,Suite,Low,297.15
107.14,Winter,Weekend,No,Standard,Medium,150.2
122.21,Summer,Weekday,No,Standard,High,169.35
204.33,Winter,Weekday,No,Suite,Medium,335.97
214.99,Summer,Weekend,No,Suite,High,392.81
136.52,Spring,Weekend,No,Suite,Low,187.13
118.15,Winter,Weekday,No,Standard,Medium,148.94
148.91,Spring,Weekend,No,Standard,Medium,180.84
173.17,Summer,Weekday,No,Standard,Low,189.43
111.02,Winter,Weekday,Yes,Standard,Low,150.47
180.47,Winter,Weekday,No,Standard,Medium,234.63
77.75,Autumn,Weekday,Yes,Standard,Medium,107.79
77.39,Autumn,Weekday,No,Suite,Medium,114.04
127.94,Summer,Weekend,No,Standard,Medium,171.87
123.02,Summer,Weekday,No,Standard,Medium,154.3
117.34,Summer,Weekday,Yes,Standard,Low,156.19
143.65,Autumn,Weekday,Yes,Standard,Medium,207.34
118.11,Winter,Weekend,No,Standard,Low,143.05
98.84,Winter,Weekday,Yes,Suite,Low,172.08
116.42,Winter,Weekday,Yes,Standard,High,192.3
216.24,Spring,Weekday,No,Suite,Medium,305.75
131.67,Summer,Weekday,No,Standard,Medium,161.91
136.71,Spring,Weekend,No,Suite,Medium,212.45
156.48,Summer,Weekend,No,Standard,Medium,222.92
217.5,Summer,Weekday,Yes,Standard,Low,286.36
106.24,Winter,Weekend,No,Standard,Low,127.22
172.19,Summer,Weekday,No,Suite,Low,245.6
177.4,Spring,Weekend,No,Standard,High,229.42
161.1,Spring,Weekday,No,Standard,Medium,173.62
83.29,Winter,Weekday,No,Suite,Medium,135.83
171.53,Autumn,Weekday,No,Suite,Medium,257.04
79.61,Spring,Weekday,No,Standard,High,101.02
159.42,Spring,Weekday,No,Standard,Low,144.65
180.94,Autumn,Weekday,No,Standard,Low,174.91
101.65,Spring,Weekday,No,Standard,Medium,106.72
196.24,Winter,Weekend,No,Standard,High,297.7
74.55,Autumn,Weekday,No,Suite,High,122.01
196.57,Spring,Weekday,Yes,Suite,Low,293.69
139.05,Spring,Weekend,No,Standard,High,184.67
102.64,Winter,Weekday,No,Standard,High,141.77
90.07,Summer,Weekday,No,Standard,Low,98.57
213.0,Summer,Weekday,No,Suite,Medium,343.75
80.9,Winter,Weekend,No,Suite,Medium,136.37
99.86,Winter,Weekday,No,Standard,High,134.39
122.17,Winter,Weekday,No,Suite,Low,179.09
163.04,Winter,Weekend,Yes,Standard,High,291.9
151.72,Summer,Weekend,Yes,Standard,Medium,243.63
88.85,Spring,Weekday,No,Standard,Medium,94.17
113.46,Winter,Weekday,No,Standard,Medium,144.43
105.81,Autumn,Weekday,No,Standard,Medium,121.04
102.03,Summer,Weekend,No,Standard,High,156.19
131.67,Winter,Weekday,No,Standard,High,179.15
175.6,Spring,Weekday,No,Suite,High,274.22
102.62,Summer,Weekend,Yes,Standard,Low,148.63
125.0,Spring,Weekday,No,Standard,Medium,131.33
128.64,Summer,Weekday,No,Standard,Low,144.57
216.47,Spring,Weekday,No,Standard,Medium,231.25
213.2,Spring,Weekday,No,Standard,Medium,230.09
190.02,Spring,Weekday,No,Standard,Medium,207.45
106.25,Autumn,Weekday,No,Standard,Medium,117.7
80.21,Autumn,Weekday,No,Standard,High,94.48
117.54,Autumn,Weekday,No,Standard,Low,112.3
110.02,Winter,Weekend,No,Standard,Medium,158.15
145.89,Summer,Weekday,No,Standard,Medium,178.1
186.66,Summer,Weekend,No,Standard,Low,218.74
198.75,Winter,Weekday,Yes,Standard,Low,275.99
196.73,Spring,Weekend,No,Suite,High,331.15
123.95,Winter,Weekend,No,Standard,High,188.84
173.09,Spring,Weekday,No,Standard,High,211.77
116.93,Winter,Weekend,No,Suite,High,224.08
79.14,Spring,Weekend,No,Standard,Low,91.83
175.23,Winter,Weekday,No,Standard,Medium,227.6
71.47,Summer,Weekday,No,Suite,Medium,117.56
131.38,Winter,Weekday,No,Suite,Medium,212.13
119.41,Spring,Weekend,Yes,Suite,Medium,210.83
174.01,Autumn,Weekend,No,Standard,Medium,217.76
184.94,Winter,Weekend,Yes,Standard,Medium,305.58
115.61,Summer,Weekday,No,Standard,Medium,137.89
191.74,Autumn,Weekend,No,Standard,Low,208.3
114.09,Autumn,Weekday,No,Standard,Medium,130.52
136.95,Summer,Weekday,No,Standard,Medium,169.89
179.05,Autumn,Weekday,Yes,Suite,Medium,311.77
173.94,Autumn,Weekday,No,Standard,Low,169.89
218.11,Winter,Weekday,No,Standard,Medium,277.15
103.77,Spring,Weekday,No,Standard,Low,93.41
169.35,Summer,Weekday,No,Standard,Medium,203.5
161.45,Winter,Weekday,No,Standard,High,236.4
207.26,Winter,Weekday,No,Standard,Medium,265.35
93.45,Summer,Weekday,No,Standard,Low,99.09
182.77,Autumn,Weekday,No,Standard,Medium,202.81
155.24,Summer,Weekday,No,Suite,Medium,257.02
111.2,Spring,Weekday,No,Suite,High,170.29
141.17,Summer,Weekday,No,Standard,Medium,171.92
120.07,Summer,Weekday,No,Standard,Medium,149.35
156.9,Autumn,Weekday,No,Suite,Medium,234.61
203.35,Spring,Weekday,No,Suite,Low,262.09
155.4,Winter,Weekday,No,Standard,Low,181.28
164.76,Winter,Weekend,No,Standard,Medium,232.69
147.81,Autumn,Weekday,No,Standard,Medium,162.8
77.67,Summer,Weekday,No,Suite,Medium,121.69
104.93,Summer,Weekday,No,Suite,Low,150.23
143.8,Winter,Weekday,No,Standard,Low,169.33
116.54,Autumn,Weekday,No,Suite,Medium,166.89
97.26,Spring,Weekday,Yes,Standard,Low,118.6
145.62,Winter,Weekday,No,Suite,Medium,238.08
118.42,Winter,Weekday,No,Standard,Low,135.98
108.72,Winter,Weekday,No,Suite,Medium,176.81
139.6,Autumn,Weekend,No,Standard,High,190.67
89.99,Autumn,Weekend,Yes,Standard,Low,123.59
209.16,Summer,Weekend,No,Standard,Medium,284.98
200.16,Winter,Weekend,No,Suite,Low,322.14
176.14,Winter,Weekday,No,Suite,Medium,287.05
85.93,Spring,Weekday,No,Suite,Medium,120.48
186.38,Spring,Weekday,No,Suite,Medium,260.29
191.19,Summer,Weekday,Yes,Standard,Medium,286.24
185.16,Winter,Weekend,No,Standard,High,286.84
